Make/Model/Trim,Year,Mileage,Price,URL,4WD?,Notes
GX 460,2016,72700,33995,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=650077127&allListingType=all-cars&maxPrice=35000&priceRange=&makeCodeList=LEXUS&modelCodeList=GX460&city=Atlanta&state=GA&zip=30338&location=&requestId=1819194850&searchRadius=0&marketExtension=include&maxMileage=100000&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fcars-under-35000%2Flexus%2Fgx-460%2Fatlanta-ga-30338%3FrequestId%3D1819194850%26dma%3D%26searchRadius%3D0%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26maxMileage%3D100000%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing,Yes,New Body Style
GX 460,2016,85300,29700,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=618204644&allListingType=all-cars&maxPrice=35000&priceRange=&makeCodeList=LEXUS&modelCodeList=GX460&city=Atlanta&state=GA&zip=30338&location=&requestId=1819194850&searchRadius=0&marketExtension=include&maxMileage=100000&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fcars-under-35000%2Flexus%2Fgx-460%2Fatlanta-ga-30338%3FrequestId%3D1819194850%26dma%3D%26searchRadius%3D0%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26maxMileage%3D100000%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=spotlight,Yes,New Body Style
GX 460,2015,90953,31917,https://www.carsforsale.com/vehicle/details/86712679,Yes,New Body Style
GX 460,2013,50265,28990,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=648071243&allListingType=all-cars&maxPrice=35000&priceRange=&makeCodeList=LEXUS&modelCodeList=GX460&city=Atlanta&state=GA&zip=30338&location=&maxMileage=100000&searchRadius=0&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=50&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fcars-under-35000%2Flexus%2Fgx-460%2Fatlanta-ga-30338%3Fdma%3D%26maxMileage%3D100000%26searchRadius%3D0%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D50&clickType=listing,Yes,"Knight'S Armor Pearl Exterior, Tan Interior"
GX 460,2017,76700,34994,https://www.carsforsale.com/vehicle/details/84557853,Yes,"New Body Style, Black"
GX 460,2017,48684,36995,https://www.carsforsale.com/vehicle/details/84585960,Yes,"New Body Style, Blue"
GX 460,2018,52975,37995,https://www.carsforsale.com/vehicle/details/82518715,Yes,"New Body Style, Nebula Gray Pearl"
GX 460,2018,48064,38874,https://www.carsforsale.com/vehicle/details/83256855,Yes,"New Body Style, Onyx Black"
GX 460,2014,60789,32499,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=639220888&allListingType=all-cars&maxPrice=35000&priceRange=&makeCodeList=LEXUS&modelCodeList=GX460&city=Atlanta&state=GA&zip=30338&location=&requestId=1819194850&searchRadius=0&marketExtension=include&maxMileage=100000&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fcars-under-35000%2Flexus%2Fgx-460%2Fatlanta-ga-30338%3FrequestId%3D1819194850%26dma%3D%26searchRadius%3D0%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26maxMileage%3D100000%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing,Yes,"New Body Style, Tungsten Pearl"
GX 460,2014,69814,30980,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=645717906&allListingType=all-cars&maxPrice=35000&priceRange=&makeCodeList=LEXUS&modelCodeList=GX460&city=Atlanta&state=GA&zip=30338&location=&requestId=1819194850&searchRadius=0&marketExtension=include&maxMileage=100000&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fcars-under-35000%2Flexus%2Fgx-460%2Fatlanta-ga-30338%3FrequestId%3D1819194850%26dma%3D%26searchRadius%3D0%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26maxMileage%3D100000%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing,Yes,"New Body Style, Tungsten Pearl"
